"HERO ID","HERO NAME","Circle Photo URL","Circle Image Formula","Ban Photo URL","Ban Image Formula","Selection Photo URL","Selection Image Formula"
"10","Franco","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/10_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/10_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/10_Franco_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/10_Franco_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/10_Franco_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/10_Franco_selection.png"")"
"11","Bane","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/11_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/11_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/11_Bane_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/11_Bane_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/11_Bane_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/11_Bane_selection.png"")"
"12","Bruno","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/12_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/12_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/12_Bruno_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/12_Bruno_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/12_Bruno_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/12_Bruno_selection.png"")"
"13","Clint","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/13_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/13_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/13_Clint_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/13_Clint_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/13_Clint_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/13_Clint_selection.png"")"
"14","Rafaela","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/14_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/14_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/14_Rafaela_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/14_Rafaela_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/14_Rafaela_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/14_Rafaela_selection.png"")"
"15","Eudora","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/15_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/15_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/15_Eudora_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/15_Eudora_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/15_Eudora_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/15_Eudora_selection.png"")"
"16","Zilong","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/16_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/16_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/16_Zilong_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/16_Zilong_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/16_Zilong_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/16_Zilong_selection.png"")"
"17","Fanny","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/17_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/17_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/17_Fanny_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/17_Fanny_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/17_Fanny_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/17_Fanny_selection.png"")"
"18","Layla","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/18_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/18_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/18_Layla_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/18_Layla_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/18_Layla_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/18_Layla_selection.png"")"
"19","Minotaur","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/19_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/19_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/19_Minotaur_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/19_Minotaur_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/19_Minotaur_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/19_Minotaur_selection.png"")"
"20","Lolita","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/20_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/20_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/20_Lolita_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/20_Lolita_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/20_Lolita_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/20_Lolita_selection.png"")"
"21","Hayabusa","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/21_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/21_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/21_Hayabusa_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/21_Hayabusa_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/21_Hayabusa_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/21_Hayabusa_selection.png"")"
"22","Freya","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/22_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/22_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/22_Freya_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/22_Freya_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/22_Freya_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/22_Freya_selection.png"")"
"23","Gord","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/23_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/23_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/23_Gord_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/23_Gord_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/23_Gord_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/23_Gord_selection.png"")"
"24","Natalia","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/24_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/24_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/24_Natalia_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/24_Natalia_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/24_Natalia_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/24_Natalia_selection.png"")"
"25","Kagura","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/25_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/25_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/25_Kagura_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/25_Kagura_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/25_Kagura_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/25_Kagura_selection.png"")"
"26","Chou","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/26_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/26_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/26_Chou_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/26_Chou_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/26_Chou_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/26_Chou_selection.png"")"
"27","Sun","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/27_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/27_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/27_Sun_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/27_Sun_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/27_Sun_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/27_Sun_selection.png"")"
"28","Alpha","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/28_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/28_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/28_Alpha_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/28_Alpha_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/28_Alpha_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/28_Alpha_selection.png"")"
"29","Ruby","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/29_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/29_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/29_Ruby_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/29_Ruby_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/29_Ruby_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/29_Ruby_selection.png"")"
"30","Yi Sun-shin","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/30_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/30_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/30_Yi_Sun_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/30_Yi_Sun_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/30_Yi_Sun_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/30_Yi_Sun_selection.png"")"
"31","Moskov","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/31_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/31_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/31_Moskov_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/31_Moskov_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/31_Moskov_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/31_Moskov_selection.png"")"
"32","Johnson","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/32_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/32_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/32_Johnson_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/32_Johnson_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/32_Johnson_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/32_Johnson_selection.png"")"
"33","Cyclops","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/33_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/33_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/33_Cyclops_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/33_Cyclops_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/33_Cyclops_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/33_Cyclops_selection.png"")"
"34","Estes","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/34_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/34_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/34_Estes_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/34_Estes_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/34_Estes_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/34_Estes_selection.png"")"
"35","Hilda","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/35_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/35_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/35_Hilda_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/35_Hilda_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/35_Hilda_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/35_Hilda_selection.png"")"
"36","Aurora","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/36_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/36_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/36_Aurora_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/36_Aurora_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/36_Aurora_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/36_Aurora_selection.png"")"
"37","Lapu-Lapu","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/37_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/37_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/37_Lapu_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/37_Lapu_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/37_Lapu_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/37_Lapu_selection.png"")"
"38","Vexana","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/38_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/38_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/38_Vexana_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/38_Vexana_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/38_Vexana_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/38_Vexana_selection.png"")"
"39","Roger","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/39_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/39_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/39_Roger_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/39_Roger_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/39_Roger_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/39_Roger_selection.png"")"
"40","Karrie","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/40_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/40_CIRCLE.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/40_Karrie_ban.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_ban/40_Karrie_ban.png"")","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/40_Karrie_selection.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero_selection/40_Karrie_selection.png"")"
